YearsExperience,EducationLevel,JobLevel,Salary
14,3,4,17545.58854015314
10,4,1,13438.729828924972
3,2,3,11594.518305122614
12,3,1,12408.062572068357
6,2,3,11832.826663911523
18,1,1,11215.861617451219
1,2,3,11039.780976294256
9,1,1,10282.007710987653
12,2,4,17497.957517942184
20,3,2,17107.684791735363
5,3,1,8758.621460979559
11,1,3,12342.308796669511
11,4,4,18541.39526192468
19,1,1,12090.013856280933
10,1,1,7742.2279345235265
6,2,4,15641.594742413543
0,2,1,10335.72143756179
0,1,2,9068.024466177047
19,3,1,13393.157642097885
12,2,2,14802.1850598951
8,4,2,13225.464328561207
2,2,4,10171.375836679863
6,2,1,6705.444640348673
5,4,4,14032.57454215346
7,1,1,6907.2757287256445
8,4,1,11793.153082541194
4,1,3,13997.58716209551
0,1,1,5888.469272775493
18,1,4,17265.619048144043
9,4,2,15772.930046130281
11,1,1,4839.956443785806
14,3,3,17204.10620459542
8,4,4,19747.55734899654
19,3,1,11318.544757596286
16,1,4,19078.75727777247
16,2,3,16729.293533489945
19,1,3,15032.481754978558
11,3,4,19159.00735899131
6,3,1,13907.247144047913
1,4,2,12047.359259105291
2,2,3,12086.797055340605
16,4,1,13493.150380827561
4,3,1,7650.280134963375
16,1,2,14114.604469779642
16,2,3,14579.049113364039
16,1,3,14948.819226994907
1,1,1,4760.21659582279
1,2,1,7782.163686343505
4,4,2,13280.591789516508
0,1,2,9367.571899664219
0,3,3,11381.970482061455
18,1,4,17174.22511647193
1,2,3,9558.225311591847
20,2,1,12200.272131863
11,2,3,15199.140887480735
5,4,4,18762.579509961633
3,1,2,6800.102416480275
10,4,4,20565.290656190187
16,4,4,23360.14814584891
5,2,4,15544.182825802662
4,2,2,13458.23246260452
19,4,4,20487.179441613567
1,1,4,9979.621534039448
5,3,4,12898.303551972298
10,4,1,15092.87976068053
15,1,4,17877.858181437303
15,2,2,13499.94759236118
0,2,4,13703.943527375677
8,1,4,12434.119714862922
5,3,2,16102.353563310287
15,2,4,18232.598127555408
2,2,2,9636.910630288807
19,2,4,20586.379923017645
3,1,2,9325.816617126084
18,4,4,21962.991243702436
2,2,4,12417.145980198438
18,4,1,15808.643042844793
19,3,1,17367.64409365506
6,2,4,17541.75608307896
19,2,4,22147.735927950915
8,3,3,13939.811782423867
0,2,2,7018.711323534554
7,4,3,15613.583543820634
6,1,1,7320.30484211965
17,4,1,16609.54473324771
7,1,1,4493.563666513325
0,1,1,8053.190575029104
10,4,4,18715.58578255782
17,4,1,13871.614074094643
9,4,4,16858.2121245317
2,4,4,13461.257990641616
6,3,1,11301.707051131447
15,2,1,11531.972340939126
15,1,2,9978.070380466103
19,4,3,17348.858210285493
16,4,1,13715.58754127777
1,4,2,14724.238745520906
0,3,2,9632.735567545511
15,4,3,15694.34268438741
11,4,4,18877.6624846453
4,4,1,9989.097574454194
4,2,3,7425.604042705171
8,3,1,10362.269240267939
8,4,2,13544.31784562438
2,1,2,9393.171456664153
18,1,4,20988.120970901622
15,1,2,14327.817053185963
15,3,2,14416.000357001305
2,3,3,10948.253364264994
19,1,1,16012.047645849749
0,4,1,9306.593181226079
19,3,3,18405.072725443304
10,1,4,15056.574843201994
16,1,1,10776.552569382138
7,4,2,13380.151258536904
3,2,1,6527.408387615575
5,3,2,10715.653905767294
7,4,4,17981.044113611202
19,1,3,14801.835411959222
2,1,1,4656.877591181104
15,4,3,18591.574409845416
2,3,1,8081.041008642461
17,2,2,16947.18737944884
13,2,3,10388.254344892579
17,1,1,12704.712333460431
1,3,2,12662.953346495731
2,2,3,7907.897581665331
15,3,3,16483.162330655374
8,3,1,9791.406441207575
3,1,1,3726.4789495079217
0,2,1,5199.929962336424
3,4,2,10360.963478161508
0,1,1,8454.086798162522
13,2,3,16844.22110766543
20,2,3,19688.799170989485
15,2,1,12699.009715277823
19,2,1,10647.706811808988
7,2,4,14495.863520696408
6,3,3,15100.874210210253
2,1,2,5940.169943994499
16,3,4,20903.3971743103
0,4,1,8767.414283315356
15,2,1,10725.322546410724
11,1,3,14499.727942766285
18,2,1,13159.67396067487
13,1,2,11010.260901525657
5,3,3,15986.793646055647
5,1,1,4954.086010320185
12,4,3,18548.684092499676
18,4,1,16027.582264343091
7,1,1,6982.816409234818
1,1,1,6207.039440035813
20,1,2,11647.995562506454
0,1,2,9163.248634572421
14,4,3,17747.17615440262
0,2,1,5659.098563065729
4,1,1,8468.216606506401
15,1,2,11032.181357023033
18,4,1,12424.769666545593
3,4,2,9558.067487656974
2,3,1,9630.817912422151
16,1,3,12515.22716550669
16,3,1,16178.629527571857
11,4,1,8972.5270658093
13,4,4,23013.62146292207
